Municipality,Year,Value
Águeda,2008,57.0
Albergaria-a-Velha,2008,54.0
Anadia,2008,42.0
Arouca,2008,22.0
Aveiro,2008,200.0
Castelo de Paiva,2008,29.0
Espinho,2008,51.0
Estarreja,2008,46.0
Santa Maria da Feira,2008,224.0
Ílhavo,2008,90.0
Mealhada,2008,21.0
Murtosa,2008,37.0
Oliveira de Azeméis,2008,85.0
Oliveira do Bairro,2008,21.0
Ovar,2008,107.0
São João da Madeira,2008,71.0
Sever do Vouga,2008,29.0
Vagos,2008,45.0
Vale de Cambra,2008,47.0
Aljustrel,2008,16.0
Almodóvar,2008,1.0
Alvito,2008,7.0
Barrancos,2008,1.0
Beja,2008,51.0
Castro Verde,2008,1.0
Cuba,2008,7.0
Ferreira do Alentejo,2008,12.0
Mértola,2008,1.0
Moura,2008,17.0
Odemira,2008,30.0
Ourique,2008,5.0
Serpa,2008,13.0
Vidigueira,2008,10.0
Amares,2008,36.0
Barcelos,2008,112.0
Braga,2008,213.0
Cabeceiras de Basto,2008,30.0
Celorico de Basto,2008,29.0
Esposende,2008,77.0
Fafe,2008,98.0
Guimarães,2008,191.0
Póvoa de Lanhoso,2008,28.0
Terras de Bouro,2008,11.0
Vieira do Minho,2008,29.0
Vila Nova de Famalicão,2008,166.0
Vila Verde,2008,43.0
Vizela,2008,31.0
Alfândega da Fé,2008,7.0
Bragança,2008,79.0
Carrazeda de Ansiães,2008,10.0
Freixo de Espada à Cinta,2008,9.0
Macedo de Cavaleiros,2008,14.0
Miranda do Douro,2008,14.0
Mirandela,2008,47.0
Mogadouro,2008,12.0
Torre de Moncorvo,2008,11.0
Vila Flor,2008,7.0
Vimioso,2008,6.0
Vinhais,2008,4.0
Belmonte,2008,19.0
Castelo Branco,2008,120.0
Covilhã,2008,124.0
Fundão,2008,50.0
Idanha-a-Nova,2008,7.0
Oleiros,2008,1.0
Penamacor,2008,1.0
Proença-a-Nova,2008,3.0
Sertã,2008,18.0
Vila de Rei,2008,1.0
Vila Velha de Ródão,2008,1.0
Arganil,2008,33.0
Cantanhede,2008,66.0
Coimbra,2008,380.0
Condeixa-a-Nova,2008,29.0
Figueira da Foz,2008,85.0
Góis,2008,29.0
Lousã,2008,61.0
Mira,2008,17.0
Miranda do Corvo,2008,30.0
Montemor-o-Velho,2008,64.0
Oliveira do Hospital,2008,24.0
Pampilhosa da Serra,2008,12.0
Penacova,2008,25.0
Penela,2008,5.0
Soure,2008,13.0
Tábua,2008,30.0
Vila Nova de Poiares,2008,20.0
Alandroal,2008,8.0
Arraiolos,2008,7.0
Borba,2008,4.0
Estremoz,2008,12.0
Évora,2008,114.0
Montemor-o-Novo,2008,21.0
Mora,2008,8.0
Mourão,2008,3.0
Portel,2008,6.0
Redondo,2008,4.0
Reguengos de Monsaraz,2008,10.0
Vendas Novas,2008,26.0
Viana do Alentejo,2008,14.0
Vila Viçosa,2008,6.0
Albufeira,2008,68.0
Alcoutim,2008,3.0
Aljezur,2008,5.0
Castro Marim,2008,11.0
Faro,2008,144.0
Lagoa,2008,56.0
Lagos,2008,69.0
Loulé,2008,104.0
Monchique,2008,5.0
Olhão,2008,116.0
Portimão,2008,145.0
São Brás de Alportel,2008,16.0
Silves,2008,62.0
Tavira,2008,48.0
Vila do Bispo,2008,8.0
Vila Real de Santo António,2008,38.0
Aguiar da Beira,2008,5.0
Almeida,2008,8.0
Celorico da Beira,2008,5.0
Figueira de Castelo Rodrigo,2008,5.0
Fornos de Algodres,2008,7.0
Gouveia,2008,16.0
Guarda,2008,65.0
Manteigas,2008,5.0
Meda,2008,10.0
Pinhel,2008,9.0
Sabugal,2008,4.0
Seia,2008,36.0
Trancoso,2008,15.0
Vila Nova de Foz Côa,2008,8.0
Alcobaça,2008,76.0
Alvaiázere,2008,14.0
Ansião,2008,45.0
Batalha,2008,33.0
Bombarral,2008,37.0
Caldas da Rainha,2008,176.0
Castanheira de Pêra,2008,6.0
Figueiró dos Vinhos,2008,11.0
Leiria,2008,190.0
Marinha Grande,2008,107.0
Nazaré,2008,18.0
Óbidos,2008,20.0
Pedrógão Grande,2008,9.0
Peniche,2008,27.0
Pombal,2008,87.0
Porto de Mós,2008,39.0
Alenquer,2008,97.0
Amadora,2008,439.0
Arruda dos Vinhos,2008,47.0
Azambuja,2008,50.0
Cadaval,2008,8.0
Cascais,2008,93.0
Lisboa,2008,1104.0
Loures,2008,443.0
Lourinhã,2008,29.0
Mafra,2008,43.0
Odivelas,2008,248.0
Oeiras,2008,393.0
Sintra,2008,1221.0
Sobral de Monte Agraço,2008,17.0
Torres Vedras,2008,76.0
Vila Franca de Xira,2008,311.0
Alter do Chão,2008,21.0
Arronches,2008,9.0
Avis,2008,5.0
Campo Maior,2008,34.0
Castelo de Vide,2008,4.0
Crato,2008,7.0
Elvas,2008,17.0
Fronteira,2008,6.0
Gavião,2008,6.0
Marvão,2008,6.0
Monforte,2008,1.0
Nisa,2008,1.0
Ponte de Sor,2008,17.0
Portalegre,2008,46.0
Sousel,2008,4.0
Amarante,2008,121.0
Baião,2008,51.0
Felgueiras,2008,77.0
Gondomar,2008,489.0
Lousãada,2008,56.0
Maia,2008,268.0
Marco de Canaveses,2008,81.0
Matosinhos,2008,528.0
Paços de Ferreira,2008,62.0
Paredes,2008,125.0
Penafiel,2008,176.0
Porto,2008,1121.0
Póvoa de Varzim,2008,114.0
Santo Tirso,2008,138.0
Trofa,2008,53.0
Valongo,2008,224.0
Vila do Conde,2008,151.0
Vila Nova de Gaia,2008,940.0
Abrantes,2008,62.0
Alcanena,2008,18.0
Almeirim,2008,38.0
Alpiarça,2008,6.0
Benavente,2008,55.0
Cartaxo,2008,26.0
Chamusca,2008,19.0
Constância,2008,1.0
Coruche,2008,13.0
Entroncamento,2008,30.0
Ferreira do Zêzere,2008,21.0
Golegã,2008,5.0
Mação,2008,11.0
Rio Maior,2008,26.0
Salvaterra de Magos,2008,52.0
Santarém,2008,100.0
Sardoal,2008,1.0
Tomar,2008,44.0
Torres Novas,2008,41.0
Vila Nova da Barquinha,2008,8.0
Ourém,2008,75.0
Alcácer do Sal,2008,15.0
Alcochete,2008,35.0
Almada,2008,166.0
Barreiro,2008,132.0
Grândola,2008,14.0
Moita,2008,170.0
Montijo,2008,94.0
Palmela,2008,130.0
Santiago do Cacém,2008,22.0
Seixal,2008,238.0
Sesimbra,2008,44.0
Setúbal,2008,199.0
Sines,2008,8.0
Arcos de Valdevez,2008,44.0
Caminha,2008,15.0
Melgaço,2008,9.0
Monção,2008,12.0
Paredes de Coura,2008,5.0
Ponte da Barca,2008,14.0
Ponte de Lima,2008,67.0
Valença,2008,28.0
Viana do Castelo,2008,180.0
Vila Nova de Cerveira,2008,10.0
Alijó,2008,19.0
Boticas,2008,9.0
Chaves,2008,35.0
Mesão Frio,2008,8.0
Mondim de Basto,2008,9.0
Montalegre,2008,6.0
Murça,2008,5.0
Peso da Régua,2008,32.0
Ribeira de Pena,2008,12.0
Sabrosa,2008,5.0
Santa Marta de Penaguião,2008,1.0
Valpaços,2008,24.0
Vila Pouca de Aguiar,2008,18.0
Vila Real,2008,80.0
Armamar,2008,1.0
Carregal do Sal,2008,15.0
Castro Daire,2008,12.0
Cinfães,2008,45.0
Lamego,2008,51.0
Mangualde,2008,38.0
Moimenta da Beira,2008,16.0
Mortágua,2008,6.0
Nelas,2008,32.0
Oliveira de Frades,2008,16.0
Penalva do Castelo,2008,13.0
Penedono,2008,1.0
Resende,2008,26.0
Santa Comba Dão,2008,22.0
São João da Pesqueira,2008,1.0
São Pedro do Sul,2008,16.0
Sátão,2008,12.0
Sernancelhe,2008,7.0
Tabuaço,2008,6.0
Tarouca,2008,6.0
Tondela,2008,31.0
Vila Nova de Paiva,2008,7.0
Viseu,2008,177.0
Vouzela,2008,17.0
Calheta (Madeira),2008,19.0
Câmara de Lobos,2008,116.0
Funchal,2008,186.0
Machico,2008,21.0
Ponta do Sol,2008,6.0
Porto Moniz,2008,7.0
Porto Santo,2008,13.0
Ribeira Brava,2008,38.0
São Vicente,2008,5.0
Santa Cruz,2008,1.0
Santana,2008,17.0
Angra do Heroísmo,2008,78.0
Calheta (Açores),2008,7.0
Corvo,2008,1.0
Horta,2008,46.0
Lagoa (Açores),2008,91.0
Lajes das Flores,2008,1.0
Lajes do Pico,2008,8.0
Madalena,2008,24.0
Nordeste,2008,17.0
Ponta Delgada,2008,355.0
Povoação,2008,37.0
Ribeira Grande,2008,227.0
São Roque do Pico,2008,14.0
Santa Cruz  Graciosa (R.A.A),2008,1.0
Santa Cruz das Flores,2008,7.0
Velas (R.A.A.),2008,1.0
Vila Praia da Vitória,2008,6.0
Vila do Porto,2008,14.0
Vila Franca do Campo,2008,30.0
Águeda,2009,63.0
Albergaria-a-Velha,2009,24.0
Anadia,2009,29.0
Arouca,2009,15.0
Aveiro,2009,212.0
Castelo de Paiva,2009,40.0
Espinho,2009,127.0
Estarreja,2009,78.0
Santa Maria da Feira,2009,221.0
Ílhavo,2009,97.0
Mealhada,2009,13.0
Murtosa,2009,29.0
Oliveira de Azeméis,2009,116.0
Oliveira do Bairro,2009,24.0
Ovar,2009,98.0
São João da Madeira,2009,46.0
Sever do Vouga,2009,17.0
Vagos,2009,46.0
Vale de Cambra,2009,40.0
Aljustrel,2009,17.0
Almodóvar,2009,1.0
Alvito,2009,1.0
Barrancos,2009,1.0
Beja,2009,94.0
Castro Verde,2009,8.0
Cuba,2009,4.0
Ferreira do Alentejo,2009,8.0
Mértola,2009,1.0
Moura,2009,27.0
Odemira,2009,27.0
Ourique,2009,4.0
Serpa,2009,7.0
Vidigueira,2009,12.0
Amares,2009,55.0
Barcelos,2009,161.0
Braga,2009,260.0
Cabeceiras de Basto,2009,24.0
Celorico de Basto,2009,34.0
Esposende,2009,86.0
Fafe,2009,92.0
Guimarães,2009,233.0
Póvoa de Lanhoso,2009,15.0
Terras de Bouro,2009,10.0
Vieira do Minho,2009,14.0
Vila Nova de Famalicão,2009,156.0
Vila Verde,2009,89.0
Vizela,2009,34.0
Alfândega da Fé,2009,4.0
Bragança,2009,77.0
Carrazeda de Ansiães,2009,17.0
Freixo de Espada à Cinta,2009,5.0
Macedo de Cavaleiros,2009,18.0
Miranda do Douro,2009,6.0
Mirandela,2009,56.0
Mogadouro,2009,11.0
Torre de Moncorvo,2009,9.0
Vila Flor,2009,16.0
Vimioso,2009,11.0
Vinhais,2009,1.0
Belmonte,2009,25.0
Castelo Branco,2009,120.0
Covilhã,2009,88.0
Fundão,2009,48.0
Idanha-a-Nova,2009,13.0
Oleiros,2009,9.0
Penamacor,2009,5.0
Proença-a-Nova,2009,14.0
Sertã,2009,21.0
Vila de Rei,2009,3.0
Vila Velha de Ródão,2009,1.0
Arganil,2009,23.0
Cantanhede,2009,64.0
Coimbra,2009,356.0
Condeixa-a-Nova,2009,32.0
Figueira da Foz,2009,137.0
Góis,2009,13.0
Lousã,2009,62.0
Mira,2009,11.0
Miranda do Corvo,2009,28.0
Montemor-o-Velho,2009,77.0
Oliveira do Hospital,2009,46.0
Pampilhosa da Serra,2009,6.0
Penacova,2009,32.0
Penela,2009,10.0
Soure,2009,26.0
Tábua,2009,21.0
Vila Nova de Poiares,2009,12.0
Alandroal,2009,4.0
Arraiolos,2009,14.0
Borba,2009,15.0
Estremoz,2009,17.0
Évora,2009,167.0
Montemor-o-Novo,2009,34.0
Mora,2009,1.0
Mourão,2009,3.0
Portel,2009,4.0
Redondo,2009,27.0
Reguengos de Monsaraz,2009,16.0
Vendas Novas,2009,17.0
Viana do Alentejo,2009,17.0
Vila Viçosa,2009,6.0
Albufeira,2009,106.0
Alcoutim,2009,3.0
Aljezur,2009,5.0
Castro Marim,2009,15.0
Faro,2009,102.0
Lagoa,2009,62.0
Lagos,2009,72.0
Loulé,2009,127.0
Monchique,2009,3.0
Olhão,2009,128.0
Portimão,2009,170.0
São Brás de Alportel,2009,13.0
Silves,2009,91.0
Tavira,2009,33.0
Vila do Bispo,2009,6.0
Vila Real de Santo António,2009,49.0
Aguiar da Beira,2009,5.0
