Distrito,Tipo_Crime,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aveiro,Violencia Domestica Conjuge ou Analogo,1 278,1 335,1 581,1 466,1 275,1 358,1 538,1 444,1 424,1 452,1 530,1 717
Beja,Violencia Domestica Conjuge ou Analogo,174,213,233,202,241,251,221,206,228,244,266,260
Braga,Violencia Domestica Conjuge ou Analogo,1 094,1 264,1 564,1 413,1 433,1 588,1 421,1 407,1 495,1 555,1 565,1 692
Braganca,Violencia Domestica Conjuge ou Analogo,220,232,324,309,281,281,276,253,257,245,241,291
Castelo Branco,Violencia Domestica Conjuge ou Analogo,347,347,360,331,306,358,380,362,370,376,382,468
Coimbra,Violencia Domestica Conjuge ou Analogo,923,956,952,949,903,1 002,1 002,902,932,824,782,815
Evora,Violencia Domestica Conjuge ou Analogo,243,343,347,373,382,331,301,330,352,340,325,312
Faro,Violencia Domestica Conjuge ou Analogo,898,986,1 202,1 086,1 079,1 029,1 063,1 097,1 178,1 211,1 171,1 377
Guarda,Violencia Domestica Conjuge ou Analogo,198,207,243,258,230,270,313,336,288,327,314,341
Leiria,Violencia Domestica Conjuge ou Analogo,895,927,1 024,865,791,732,757,768,730,752,723,824
Lisboa,Violencia Domestica Conjuge ou Analogo,4 619,5 460,5 612,5 232,4 649,4 878,4 960,4 961,5 242,5 190,4 979,5 598
Portalegre,Violencia Domestica Conjuge ou Analogo,185,239,231,206,211,250,229,284,300,272,285,283
Porto,Violencia Domestica Conjuge ou Analogo,4 775,5 424,5 392,5 080,4 537,4 425,4 355,4 051,4 139,3 996,4 003,4 237
Santarem,Violencia Domestica Conjuge ou Analogo,653,755,833,803,824,838,787,827,764,698,655,915
Setubal,Violencia Domestica Conjuge ou Analogo,1 267,1 672,2 033,1 919,1 920,2 046,1 990,1 932,1 880,1 959,2 040,2 329
Viana do Castelo,Violencia Domestica Conjuge ou Analogo,384,461,472,430,394,413,442,467,455,454,518,558
Vila Real,Violencia Domestica Conjuge ou Analogo,262,317,450,423,395,446,467,455,401,363,362,413
Viseu,Violencia Domestica Conjuge ou Analogo,577,625,662,681,718,678,764,718,706,688,708,799
Ilha Terceira,Violencia Domestica Conjuge ou Analogo,84,115,171,165,190,161,186,132,135,175,171,186
Ilha do Corvo,Violencia Domestica Conjuge ou Analogo,,,,,,,,3,,,,
Ilha do Faial,Violencia Domestica Conjuge ou Analogo,46,43,67,51,36,45,33,39,47,41,33,37
Ilha das Flores,Violencia Domestica Conjuge ou Analogo,9,15,9,13,9,13,22,12,11,13,7,14
Ilha do Pico,Violencia Domestica Conjuge ou Analogo,46,31,45,30,32,37,27,26,36,20,21,18
Ilha de Santa Maria,Violencia Domestica Conjuge ou Analogo,14,16,8,20,18,17,6,15,11,9,12,11
Ilha de Sao Miguel,Violencia Domestica Conjuge ou Analogo,757,874,655,699,605,620,578,561,571,598,544,540
Ilha da Madeira,Violencia Domestica Conjuge ou Analogo,415,371,622,705,758,817,810,841,773,752,726,697
