Anos letivos de 2003/04 a 2018/19 - Continente ;;;;;;;;;;;;;;;;;;;;;;;
Taxa Bruta de Escolarização* (%), por sexo, nível de ensino, ciclo de estudos, NUTS II, NUTS III de 2013 e município;;;;;;;;;;;;;;;;;;;;;;;
* Fórmula de cálculo: (Alunos matriculados no nível ou ciclo x / População residente com idade normal de frequência do nível ou ciclo x )*100;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Fonte: indicador calculado pela DGEEC com base em dados de matrículas da DGEEC e dados de população residente do INE;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
ANO LETIVO;NUT I - Continente;NUTS II de 2013;NUTS III de 2013;CÓDIGO DE MUNICÍPIO;MUNICÍPIO;Homens e Mulheres;;;;;;Homens;;;;;;Mulheres;;;;;
;;;;;;Educação pré-escolar;Ensino básico;;;;Ensino secundário;Educação pré-escolar;Ensino básico;;;;Ensino secundário;Educação pré-escolar;Ensino básico;;;;Ensino secundário
;;;;;;;Total;1.º Ciclo;2.º Ciclo;3.º Ciclo;;;Total;1.º Ciclo;2.º Ciclo;3.º Ciclo;;;Total;1.º Ciclo;2.º Ciclo;3.º Ciclo;
2003/04;Continente;;;;;77,5;117,8;118,7;124,6;112,3;108,3;76,8;119,0;120,0;128,9;111,3;100,9;78,2;116,5;117,3;120,0;113,3;116,1
2003/04;;Norte;;;;72,8;115,1;115,6;123,1;109,5;92,0;72,0;116,4;117,2;127,7;108,2;83,6;73,7;113,8;113,8;118,3;111,0;100,7
2003/04;;;Alto Minho;;;83,2;115,5;117,3;119,4;111,1;102,7;82,1;115,8;117,0;122,6;110,4;90,3;84,4;115,1;117,5;116,2;111,7;116,1
2003/04;;;;1601;Arcos de Valdevez;57,7;116,2;121,0;121,3;108,3;100,2;57,6;112,8;117,6;127,1;99,7;78,4;57,9;119,7;124,8;115,5;117,3;125,6
2003/04;;;;1602;Caminha;96,9;119,5;113,9;127,3;121,2;195,1;98,5;117,8;114,8;135,2;111,8;200,4;95,4;121,3;112,9;119,4;132,1;190,4
2003/04;;;;1603;Melgaço;106,5;114,9;127,3;121,4;99,6;141,3;103,9;109,4;122,4;114,7;93,8;127,5;109,0;121,4;132,2;132,2;105,8;157,8
2003/04;;;;1604;Monção;101,1;119,4;129,2;117,1;110,6;97,9;103,0;122,9;131,3;129,5;111,3;93,4;99,5;115,5;127,0;104,7;109,8;103,1
2003/04;;;;1605;Paredes de Coura;109,9;119,3;129,8;117,0;111,4;97,8;99,1;100,6;108,5;101,2;93,0;89,5;122,6;141,0;155,6;135,7;131,8;106,6
2003/04;;;;1606;Ponte da Barca;59,8;110,4;113,5;121,3;100,2;59,7;60,9;108,4;107,5;134,2;92,7;44,7;58,5;112,7;120,6;106,2;108,1;75,2
2003/04;;;;1607;Ponte de Lima;76,6;111,2;113,9;113,7;106,3;62,5;77,1;114,5;117,3;120,1;107,9;52,6;76,1;107,7;110,4;107,4;104,7;73,9
2003/04;;;;1608;Valença;89,6;111,1;122,8;109,6;98,6;87,5;84,5;115,6;128,7;116,8;101,8;70,1;95,0;106,8;117,8;103,0;95,2;105,2
2003/04;;;;1609;Viana do Castelo;86,2;115,1;114,4;117,4;114,5;113,9;84,5;115,9;113,1;117,3;118,5;99,8;88,1;114,3;115,8;117,5;110,6;128,5
2003/04;;;;1610;Vila Nova de Cerveira;91,6;142,2;128,7;171,1;138,1;116,1;95,8;146,2;140,9;165,5;140,3;117,3;86,7;138,1;115,8;176,3;135,8;114,8
2003/04;;;Alto Tâmega;;;91,2;123,5;124,1;131,0;118,5;100,8;92,8;126,4;125,9;138,5;120,1;87,1;89,5;120,5;122,2;123,6;116,9;115,0
2003/04;;;;1702;Boticas;95,7;126,7;139,9;123,5;116,8;19,2;110,9;134,9;150,6;132,6;123,2;16,3;77,4;119,0;130,2;116,1;110,1;22,7
2003/04;;;;1703;Chaves;90,8;118,8;115,9;122,8;119,5;139,4;90,0;123,9;118,1;139,3;121,5;128,3;91,8;113,4;113,6;107,1;117,3;150,1
2003/04;;;;1706;Montalegre;98,1;130,0;129,5;131,5;129,6;82,0;100,0;130,6;133,7;127,7;129,1;69,7;96,4;129,3;125,0;135,4;130,2;93,5
2003/04;;;;1709;Ribeira de Pena;87,7;132,0;133,2;146,4;122,8;75,4;97,8;130,5;134,7;128,4;126,5;62,4;77,8;133,7;131,6;171,9;119,5;90,5
2003/04;;;;1712;Valpaços;101,0;128,3;128,5;142,8;120,8;69,4;101,5;129,1;125,4;145,5;124,4;55,6;100,5;127,4;131,4;140,0;117,0;84,8
2003/04;;;;1713;Vila Pouca de Aguiar;77,2;121,3;129,5;136,9;103,9;95,7;77,2;122,4;132,8;143,3;101,1;76,8;77,2;120,2;126,3;130,8;106,9;116,0
2003/04;;;Área Metropolitana do Porto;;;69,9;114,8;114,4;123,5;109,7;96,5;69,1;116,2;116,2;128,1;108,5;89,2;70,8;113,3;112,6;118,7;110,8;104,1
2003/04;;;;104;Arouca;56,1;116,4;117,6;122,1;111,2;60,5;57,4;116,0;118,1;122,1;109,3;45,8;54,8;116,8;117,0;122,1;113,2;76,7
2003/04;;;;107;Espinho;90,2;143,6;143,6;155,5;135,7;179,3;92,8;140,1;138,6;157,1;130,4;172,1;87,3;147,1;148,7;153,7;141,0;186,8
2003/04;;;;109;Santa Maria da Feira;80,4;108,1;107,6;118,0;102,6;70,5;79,1;108,7;109,6;121,4;99,3;64,3;81,7;107,5;105,3;114,2;106,0;76,8
2003/04;;;;113;Oliveira de Azeméis;76,3;104,0;105,8;111,9;96,6;52,7;76,0;103,9;107,2;111,9;94,7;45,3;76,7;104,1;104,2;111,9;98,8;60,4
2003/04;;;;116;São João da Madeira;131,0;172,8;163,8;176,7;181,5;305,7;136,2;173,7;164,6;174,2;185,0;269,5;125,9;171,9;163,1;179,2;178,1;342,6
2003/04;;;;119;Vale de Cambra;86,2;111,4;110,5;115,1;110,0;88,1;74,5;113,1;113,3;116,3;110,6;68,7;97,6;109,6;107,5;113,8;109,4;109,2
2003/04;;;;1304;Gondomar;43,5;94,8;97,5;98,3;89,1;65,4;42,7;96,5;97,2;103,9;91,1;59,3;44,2;92,9;97,8;92,5;86,9;71,6
2003/04;;;;1306;Maia;47,6;93,8;91,4;100,5;92,8;75,3;46,5;94,8;94,3;99,9;92,2;71,5;48,8;92,8;88,4;101,1;93,3;79,4
2003/04;;;;1308;Matosinhos;63,8;106,4;104,1;116,7;102,5;85,8;63,2;107,6;105,6;119,3;102,7;79,4;64,4;105,0;102,6;114,0;102,2;92,6
2003/04;;;;1310;Paredes;52,0;106,7;109,8;119,9;94,5;48,7;52,1;108,1;109,6;124,1;95,8;39,3;51,8;105,3;110,0;115,4;93,2;58,5
2003/04;;;;1312;Porto;129,4;164,7;169,4;168,7;156,5;231,9;127,6;169,6;175,7;176,9;157,6;225,1;131,3;159,7;162,9;160,4;155,5;239,0
2003/04;;;;1313;Póvoa de Varzim;59,8;114,4;110,6;131,1;108,0;93,2;61,0;113,6;111,8;134,0;102,2;81,2;58,6;115,2;109,5;128,2;114,3;105,8
2003/04;;;;1314;Santo Tirso;78,2;124,5;127,3;123,8;121,8;99,6;75,5;125,2;126,1;131,8;119,8;88,1;81,1;123,9;128,5;115,9;123,9;112,1
2003/04;;;;1315;Valongo;67,7;120,7;116,0;139,5;114,7;92,1;68,8;119,8;116,1;146,4;107,9;83,9;66,4;121,7;115,9;132,2;122,1;99,9
2003/04;;;;1316;Vila do Conde;81,1;109,4;112,7;115,4;101,3;63,9;78,6;110,3;114,6;122,4;97,1;52,8;83,7;108,4;110,7;107,7;105,9;75,3
2003/04;;;;1317;Vila Nova de Gaia;57,3;105,2;103,2;114,9;101,4;71,3;56,6;107,6;105,7;121,7;101,0;68,5;58,0;102,6;100,5;108,0;101,8;74,2
2003/04;;;;1318;Trofa;52,7;113,3;108,5;126,2;111,4;56,2;49,1;114,9;110,3;130,1;111,3;50,7;56,3;111,6;106,7;122,0;111,5;62,0
2003/04;;;Ave;;;70,1;112,3;114,0;119,4;105,9;81,2;69,6;113,4;115,8;124,1;103,8;70,6;70,7;111,2;112,1;114,5;108,1;92,6
