Year,Municipality,GER
2009,Arcos de Valdevez,157.9
2009,Caminha,271.7
2009,Melgaço,93.7
2009,Monção,168.6
2009,Paredes de Coura,102.4
2009,Ponte da Barca,87.7
2009,Ponte de Lima,101.5
2009,Valença,98.1
2009,Viana do Castelo,153.5
2009,Vila Nova de Cerveira,223.2
2009,Boticas,5.6
2009,Chaves,221.4
2009,Montalegre,97.5
2009,Ribeira de Pena,61.9
2009,Valpaços,95.1
2009,Vila Pouca de Aguiar,56.2
2009,Arouca,108.8
2009,Espinho,226.0
2009,Santa Maria da Feira,111.9
2009,Oliveira de Azeméis,112.4
2009,São João da Madeira,350.4
2009,Vale de Cambra,101.4
2009,Gondomar,101.6
2009,Maia,112.5
2009,Matosinhos,117.1
2009,Paredes,80.7
2009,Porto,387.2
2009,Póvoa de Varzim,97.8
2009,Santo Tirso,146.5
2009,Valongo,115.7
2009,Vila do Conde,73.4
2009,Vila Nova de Gaia,115.1
2009,Trofa,143.3
2009,Mondim de Basto,60.4
2009,Cabeceiras de Basto,82.8
2009,Fafe,89.7
2009,Guimarães,92.5
2009,Póvoa de Lanhoso,99.1
2009,Vieira do Minho,79.4
2009,Vila Nova de Famalicão,143.3
2009,Vizela,106.2
2009,Amares,80.2
2009,Barcelos,84.9
2009,Braga,182.5
2009,Esposende,107.5
2009,Terras de Bouro,73.2
2009,Vila Verde,91.3
2009,Alijó,61.1
2009,Mesão Frio,107.9
2009,Murça,122.4
2009,Peso da Régua,169.0
2009,Sabrosa,255.4
2009,Santa Marta de Penaguião,6.8
2009,Vila Real,227.0
2009,Armamar,28.0
2009,Lamego,167.6
2009,Moimenta da Beira,313.5
2009,Penedono,
2009,São João da Pesqueira,305.8
2009,Sernancelhe,118.2
2009,Tabuaço,58.2
2009,Tarouca,72.6
2009,Carrazeda de Ansiães,112.9
2009,Freixo de Espada à Cinta,9.6
2009,Torre de Moncorvo,96.6
2009,Vila Nova de Foz Côa,80.6
2009,Castelo de Paiva,88.3
2009,Amarante,137.8
2009,Baião,75.3
2009,Felgueiras,100.1
2009,Lousada,73.3
2009,Marco de Canaveses,76.9
2009,Paços de Ferreira,65.7
2009,Penafiel,91.8
2009,Cinfães,82.4
2009,Resende,86.7
2009,Celorico de Basto,134.8
2009,Alfândega da Fé,94.2
2009,Bragança,350.0
2009,Macedo de Cavaleiros,138.5
2009,Miranda do Douro,267.9
2009,Mirandela,178.0
2009,Mogadouro,90.5
2009,Vila Flor,76.8
2009,Vimioso,
2009,Vinhais,78.3
2009,Castelo Branco,244.1
2009,Idanha-a-Nova,275.0
2009,Oleiros,35.7
2009,Penamacor,101.7
2009,Proença-a-Nova,81.0
2009,Vila Velha de Ródão,
2009,Belmonte,36.9
2009,Covilhã,185.9
2009,Fundão,148.2
2009,Almeida,84.7
2009,Celorico da Beira,58.5
2009,Figueira de Castelo Rodrigo,90.7
2009,Fornos de Algodres,90.1
2009,Gouveia,136.9
2009,Guarda,211.2
2009,Manteigas,174.5
2009,Meda,80.2
2009,Pinhel,71.9
2009,Sabugal,60.5
2009,Seia,189.6
2009,Trancoso,225.0
2009,Abrantes,128.7
2009,Alcanena,104.2
2009,Constância,66.1
