Year,Municipality,GER
2009,Arcos de Valdevez,183.7
2009,Caminha,277.7
2009,Melgaço,114.1
2009,Monção,189.1
2009,Paredes de Coura,117.1
2009,Ponte da Barca,95.2
2009,Ponte de Lima,109.2
2009,Valença,105.1
2009,Viana do Castelo,168.3
2009,Vila Nova de Cerveira,229.5
2009,Boticas,13.0
2009,Chaves,244.8
2009,Montalegre,99.4
2009,Ribeira de Pena,68.3
2009,Valpaços,106.3
2009,Vila Pouca de Aguiar,64.1
2009,Arouca,124.8
2009,Espinho,239.9
2009,Santa Maria da Feira,119.4
2009,Oliveira de Azeméis,107.8
2009,São João da Madeira,358.5
2009,Vale de Cambra,105.5
2009,Gondomar,109.8
2009,Maia,102.8
2009,Matosinhos,119.3
2009,Paredes,90.8
2009,Porto,401.2
2009,Póvoa de Varzim,106.1
2009,Santo Tirso,144.5
2009,Valongo,119.6
2009,Vila do Conde,81.5
2009,Vila Nova de Gaia,115.8
2009,Trofa,131.7
2009,Mondim de Basto,73.4
2009,Cabeceiras de Basto,90.3
2009,Fafe,100.7
2009,Guimarães,99.0
2009,Póvoa de Lanhoso,113.9
2009,Vieira do Minho,94.8
2009,Vila Nova de Famalicão,150.0
2009,Vizela,117.6
2009,Amares,93.3
2009,Barcelos,94.5
2009,Braga,190.5
2009,Esposende,119.5
2009,Terras de Bouro,89.0
2009,Vila Verde,122.7
2009,Alijó,64.5
2009,Mesão Frio,133.5
2009,Murça,146.9
2009,Peso da Régua,181.8
2009,Sabrosa,302.8
2009,Santa Marta de Penaguião,11.1
2009,Vila Real,237.7
2009,Armamar,25.2
2009,Lamego,172.0
2009,Moimenta da Beira,318.2
2009,Penedono,
2009,São João da Pesqueira,300.3
2009,Sernancelhe,102.7
2009,Tabuaço,76.0
2009,Tarouca,80.4
2009,Carrazeda de Ansiães,128.4
2009,Freixo de Espada à Cinta,17.6
2009,Torre de Moncorvo,106.7
2009,Vila Nova de Foz Côa,91.5
2009,Castelo de Paiva,114.8
2009,Amarante,148.9
2009,Baião,95.8
2009,Felgueiras,112.6
2009,Lousada,83.1
2009,Marco de Canaveses,89.7
2009,Paços de Ferreira,73.6
2009,Penafiel,111.6
2009,Cinfães,103.1
2009,Resende,93.6
2009,Celorico de Basto,159.7
2009,Alfândega da Fé,105.2
2009,Bragança,383.8
2009,Macedo de Cavaleiros,150.7
2009,Miranda do Douro,265.5
2009,Mirandela,198.0
2009,Mogadouro,92.5
2009,Vila Flor,84.8
2009,Vimioso,
2009,Vinhais,100.5
2009,Castelo Branco,265.2
2009,Idanha-a-Nova,267.1
2009,Oleiros,40.5
2009,Penamacor,96.8
2009,Proença-a-Nova,101.9
2009,Vila Velha de Ródão,
2009,Belmonte,46.5
2009,Covilhã,193.0
2009,Fundão,160.5
2009,Almeida,91.3
2009,Celorico da Beira,69.3
