Year,Municipality,GER
2009,Arcos de Valdevez,209.3
2009,Caminha,283.8
2009,Melgaço,143.9
2009,Monção,210.0
2009,Paredes de Coura,133.3
2009,Ponte da Barca,104.0
2009,Ponte de Lima,117.2
2009,Valença,111.7
2009,Viana do Castelo,183.4
2009,Vila Nova de Cerveira,236.0
2009,Boticas,19.5
2009,Chaves,267.0
2009,Montalegre,101.3
2009,Ribeira de Pena,76.1
2009,Valpaços,117.2
2009,Vila Pouca de Aguiar,71.8
2009,Arouca,142.5
2009,Espinho,255.3
2009,Santa Maria da Feira,127.2
2009,Oliveira de Azeméis,103.0
2009,São João da Madeira,366.0
2009,Vale de Cambra,110.2
2009,Gondomar,118.3
2009,Maia,92.9
2009,Matosinhos,121.6
2009,Paredes,101.3
2009,Porto,415.2
2009,Póvoa de Varzim,114.8
2009,Santo Tirso,142.4
2009,Valongo,123.6
2009,Vila do Conde,90.6
2009,Vila Nova de Gaia,116.6
2009,Trofa,119.8
2009,Mondim de Basto,86.3
2009,Cabeceiras de Basto,97.8
2009,Fafe,111.9
2009,Guimarães,106.1
2009,Póvoa de Lanhoso,129.4
2009,Vieira do Minho,112.4
2009,Vila Nova de Famalicão,156.9
2009,Vizela,129.9
2009,Amares,106.0
2009,Barcelos,104.8
2009,Braga,198.9
2009,Esposende,132.6
2009,Terras de Bouro,103.8
2009,Vila Verde,156.3
2009,Alijó,68.4
2009,Mesão Frio,158.2
2009,Murça,177.6
2009,Peso da Régua,194.2
2009,Sabrosa,362.5
2009,Santa Marta de Penaguião,15.4
2009,Vila Real,248.5
2009,Armamar,22.4
2009,Lamego,176.5
2009,Moimenta da Beira,322.6
2009,Penedono,
2009,São João da Pesqueira,295.3
2009,Sernancelhe,89.0
2009,Tabuaço,95.9
2009,Tarouca,89.4
2009,Carrazeda de Ansiães,145.8
2009,Freixo de Espada à Cinta,26.0
2009,Torre de Moncorvo,116.7
2009,Vila Nova de Foz Côa,101.8
2009,Castelo de Paiva,143.0
2009,Amarante,160.1
2009,Baião,115.9
2009,Felgueiras,125.8
2009,Lousada,93.1
2009,Marco de Canaveses,102.7
2009,Paços de Ferreira,82.1
2009,Penafiel,133.1
2009,Cinfães,124.4
2009,Resende,102.0
