Municipality,Year,Value
Arcos de Valdevez,2009,56.25
Caminha,2009,50.0
Melgaço,2009,31.25
Monção,2009,43.75
Paredes de Coura,2009,30.0
Ponte da Barca,2009,37.5
Ponte de Lima,2009,51.388888888888886
Valença,2009,36.666666666666664
Viana do Castelo,2009,48.24561403508772
Vila Nova de Cerveira,2009,48.275862068965516
Amares,2009,42.857142857142854
Barcelos,2009,41.55844155844156
Braga,2009,50.22831050228311
Esposende,2009,42.64705882352941
Terras de Bouro,2009,0.0
Vila Verde,2009,62.857142857142854
Cabeceiras de Basto,2009,38.888888888888886
Fafe,2009,45.588235294117645
Guimarães,2009,48.58757062146893
Mondim de Basto,2009,28.571428571428573
Póvoa de Lanhoso,2009,31.818181818181817
Vieira do Minho,2009,50.0
Vila Nova de Famalicão,2009,47.32142857142857
Vizela,2009,43.75
Arouca,2009,40.0
Espinho,2009,51.65562913907285
Gondomar,2009,57.048458149779734
Maia,2009,50.93795093795094
Matosinhos,2009,52.459016393442624
Oliveira de Azeméis,2009,50.0
Paredes,2009,38.27160493827161
Porto,2009,48.070429329474194
Póvoa de Varzim,2009,50.99601593625498
Santa Maria da Feira,2009,53.46938775510204
Santo Tirso,2009,50.0
São João da Madeira,2009,33.333333333333336
Trofa,2009,50.847457627118644
Vale de Cambra,2009,46.666666666666664
Valongo,2009,56.872037914691944
Vila do Conde,2009,51.96506550218341
Vila Nova de Gaia,2009,53.36032388663968
Boticas,2009,50.0
Chaves,2009,47.82608695652174
Montalegre,2009,12.5
Ribeira de Pena,2009,63.63636363636363
Valpaços,2009,20.0
Vila Pouca de Aguiar,2009,47.05882352941177
Amarante,2009,50.68493150684932
Baião,2009,43.75
Castelo de Paiva,2009,45.45454545454545
Celorico de Basto,2009,33.333333333333336
Cinfães,2009,68.75
Felgueiras,2009,46.34146341463415
Lousada,2009,56.666666666666664
Marco de Canaveses,2009,56.666666666666664
Paços de Ferreira,2009,47.916666666666664
Penafiel,2009,54.8780487804878
Resende,2009,22.22222222222222
Alijó,2009,28.571428571428573
Armamar,2009,66.66666666666667
Carrazeda de Ansiães,2009,16.666666666666668
Freixo de Espada à Cinta,2009,60.0
Lamego,2009,34.0
Mesão Frio,2009,33.333333333333336
Moimenta da Beira,2009,70.0
Murça,2009,0.0
Penedono,2009,50.0
Peso da Régua,2009,38.23529411764706
Sabrosa,2009,0.0
Santa Marta de Penaguião,2009,50.0
São João da Pesqueira,2009,57.142857142857146
Sernancelhe,2009,40.0
Tabuaço,2009,33.333333333333336
Tarouca,2009,57.142857142857146
Torre de Moncorvo,2009,57.142857142857146
Vila Nova de Foz Côa,2009,62.5
Vila Real,2009,46.753246753246756
Alfândega da Fé,2009,37.5
Bragança,2009,48.739495798319325
Macedo de Cavaleiros,2009,32.25806451612903
Miranda do Douro,2009,60.0
Mirandela,2009,56.52173913043478
Mogadouro,2009,38.46153846153846
Vila Flor,2009,50.0
Vimioso,2009,33.333333333333336
Vinhais,2009,50.0
Alcobaça,2009,36.53846153846154
Alenquer,2009,60.526315789473685
Arruda dos Vinhos,2009,58.8235294117647
Bombarral,2009,56.25
Cadaval,2009,20.0
Caldas da Rainha,2009,46.308724832214764
Lourinhã,2009,58.333333333333336
Nazaré,2009,35.294117647058826
Óbidos,2009,63.63636363636363
Peniche,2009,30.303030303030305
Sobral de Monte Agraço,2009,58.333333333333336
Torres Vedras,2009,50.75757575757576
Águeda,2009,45.97701149425287
Albergaria-a-Velha,2009,44.73684210526316
Anadia,2009,42.857142857142854
Aveiro,2009,46.99140401146132
Estarreja,2009,51.16279069767442
Ílhavo,2009,48.717948717948715
Murtosa,2009,64.28571428571429
Oliveira do Bairro,2009,50.0
Ovar,2009,52.94117647058823
Sever do Vouga,2009,28.571428571428573
Vagos,2009,36.666666666666664
Arganil,2009,20.0
Cantanhede,2009,40.0
Coimbra,2009,49.826388888888886
Condeixa-a-Nova,2009,47.88732394366197
Figueira da Foz,2009,50.0
Góis,2009,0.0
Lousã,2009,28.571428571428573
Mealhada,2009,55.319148936170215
Mira,2009,52.63157894736842
Miranda do Corvo,2009,36.8421052631579
Montemor-o-Velho,2009,47.5
Mortágua,2009,37.5
Oliveira do Hospital,2009,36.36363636363637
Pampilhosa da Serra,2009,
Penacova,2009,50.0
Penela,2009,75.0
Soure,2009,58.333333333333336
Tábua,2009,45.45454545454545
Vila Nova de Poiares,2009,50.0
Alvaiázere,2009,71.42857142857143
Ansião,2009,30.0
Batalha,2009,44.44444444444444
Castanheira de Pêra,2009,50.0
Figueiró dos Vinhos,2009,33.333333333333336
Leiria,2009,51.267605633802816
Marinha Grande,2009,42.42424242424242
Pedrógão Grande,2009,0.0
Pombal,2009,46.3768115942029
Porto de Mós,2009,31.57894736842105
Aguiar da Beira,2009,50.0
Carregal do Sal,2009,30.0
Castro Daire,2009,20.0
Mangualde,2009,53.84615384615385
Nelas,2009,40.90909090909091
Oliveira de Frades,2009,40.0
Penalva do Castelo,2009,40.0
Santa Comba Dão,2009,50.0
São Pedro do Sul,2009,53.84615384615385
Sátão,2009,61.53846153846154
Tondela,2009,39.53488372093023
Vila Nova de Paiva,2009,33.333333333333336
Viseu,2009,42.55765199161426
Vouzela,2009,14.285714285714286
Castelo Branco,2009,40.72164948453608
Idanha-a-Nova,2009,40.0
Oleiros,2009,
Penamacor,2009,33.333333333333336
Proença-a-Nova,2009,22.22222222222222
Vila Velha de Ródão,2009,50.0
Abrantes,2009,43.20987654320987
Alcanena,2009,46.666666666666664
Constância,2009,100.0
Entroncamento,2009,54.54545454545455
Ferreira do Zêzere,2009,0.0
Mação,2009,0.0
Ourém,2009,50.0
Sardoal,2009,25.0
Sertã,2009,33.333333333333336
Tomar,2009,44.705882352941174
Torres Novas,2009,50.602409638554214
Vila de Rei,2009,0.0
Vila Nova da Barquinha,2009,50.0
Almeida,2009,22.22222222222222
Belmonte,2009,14.285714285714286
Celorico da Beira,2009,0.0
Covilhã,2009,45.22292993630573
Figueira de Castelo Rodrigo,2009,30.0
Fornos de Algodres,2009,50.0
Fundão,2009,53.333333333333336
Gouveia,2009,42.857142857142854
Guarda,2009,40.67796610169491
Manteigas,2009,40.0
Mêda,2009,50.0
Pinhel,2009,27.272727272727273
Sabugal,2009,45.45454545454545
Seia,2009,53.333333333333336
Trancoso,2009,45.45454545454545
Alcochete,2009,58.8235294117647
Almada,2009,55.33980582524272
Amadora,2009,54.36507936507937
Barreiro,2009,56.21890547263681
Cascais,2009,49.18287937743191
Lisboa,2009,51.30102040816327
Loures,2009,54.13105413105413
Mafra,2009,48.717948717948715
Moita,2009,47.76119402985075
Montijo,2009,48.35164835164835
Odivelas,2009,54.42359249329759
Oeiras,2009,55.09103169251517
Palmela,2009,52.27272727272727
Seixal,2009,57.6
Sesimbra,2009,56.25
Setúbal,2009,48.4375
Sintra,2009,54.20439844760673
Vila Franca de Xira,2009,60.317460317460316
Alcácer do Sal,2009,25.0
Grândola,2009,50.0
Odemira,2009,42.857142857142854
Santiago do Cacém,2009,45.6140350877193
Sines,2009,40.0
Aljustrel,2009,62.5
Almodôvar,2009,33.333333333333336
Alvito,2009,50.0
Barrancos,2009,0.0
Beja,2009,43.20987654320987
Castro Verde,2009,50.0
Cuba,2009,20.0
Ferreira do Alentejo,2009,33.333333333333336
Mértola,2009,33.333333333333336
Moura,2009,68.75
Ourique,2009,16.666666666666668
Serpa,2009,57.142857142857146
Vidigueira,2009,57.142857142857146
Almeirim,2009,44.11764705882353
Alpiarça,2009,33.333333333333336
Azambuja,2009,63.1578947368421
Benavente,2009,46.42857142857143
Cartaxo,2009,38.095238095238095
Chamusca,2009,16.666666666666668
Coruche,2009,50.0
Golegã,2009,25.0
Rio Maior,2009,65.0
Salvaterra de Magos,2009,53.333333333333336
Santarém,2009,45.33898305084746
Alter do Chão,2009,66.66666666666667
Arronches,2009,50.0
Avis,2009,0.0
Campo Maior,2009,38.18181818181818
Castelo de Vide,2009,57.142857142857146
Crato,2009,50.0
Elvas,2009,29.523809523809526
Fronteira,2009,50.0
Gavião,2009,0.0
Marvão,2009,33.333333333333336
Monforte,2009,0.0
Nisa,2009,30.0
Ponte de Sor,2009,40.0
Portalegre,2009,38.095238095238095
Sousel,2009,50.0
Alandroal,2009,20.0
Arraiolos,2009,0.0
Borba,2009,11.11111111111111
Estremoz,2009,50.0
Évora,2009,45.51971326164875
Montemor-o-Novo,2009,46.666666666666664
Mora,2009,60.0
Mourão,2009,0.0
Portel,2009,0.0
Redondo,2009,60.0
Reguengos de Monsaraz,2009,50.0
Vendas Novas,2009,50.0
Viana do Alentejo,2009,60.0
Vila Viçosa,2009,45.45454545454545
Albufeira,2009,47.61904761904762
Alcoutim,2009,33.333333333333336
Aljezur,2009,80.0
Castro Marim,2009,55.55555555555556
Faro,2009,40.23668639053255
Lagoa,2009,35.0
Lagos,2009,45.588235294117645
Loulé,2009,36.36363636363637
Monchique,2009,25.0
Olhão,2009,48.648648648648646
Portimão,2009,39.163498098859314
São Brás de Alportel,2009,30.76923076923077
Silves,2009,31.03448275862069
Tavira,2009,32.69230769230769
Vila do Bispo,2009,50.0
Vila Real de Santo António,2009,20.0
Vila do Porto,2009,50.0
Lagoa [R.A.A.],2009,50.0
Nordeste,2009,40.0
Ponta Delgada,2009,45.0199203187251
Povoação,2009,20.0
Ribeira Grande,2009,48.0
Vila Franca do Campo,2009,0.0
Angra do Heroísmo,2009,47.422680412371136
Vila da Praia da Vitória,2009,57.142857142857146
Santa Cruz da Graciosa,2009,0.0
Calheta [R.A.A.],2009,0.0
Velas,2009,75.0
Lajes do Pico,2009,40.0
Madalena,2009,0.0
São Roque do Pico,2009,60.0
Horta,2009,42.10526315789474
Lajes das Flores,2009,
Santa Cruz das Flores,2009,100.0
Corvo,2009,0.0
Calheta [R.A.M.],2009,33.333333333333336
Câmara de Lobos,2009,35.294117647058826
Funchal,2009,43.96887159533074
Machico,2009,50.0
Ponta do Sol,2009,66.66666666666667
Porto Moniz,2009,0.0
Ribeira Brava,2009,40.0
Santa Cruz,2009,53.84615384615385
Santana,2009,40.0
São Vicente,2009,25.0
Porto Santo,2009,0.0
Arcos de Valdevez,2010,58.8235294117647
Caminha,2010,51.724137931034484
Melgaço,2010,33.333333333333336
Monção,2010,42.30769230769231
Paredes de Coura,2010,30.0
Ponte da Barca,2010,34.78260869565217
Ponte de Lima,2010,52.17391304347826
Valença,2010,40.625
Viana do Castelo,2010,48.484848484848484
Vila Nova de Cerveira,2010,50.0
Amares,2010,47.61904761904762
Barcelos,2010,40.853658536585364
Braga,2010,51.31995776135164
Esposende,2010,46.05263157894737
Terras de Bouro,2010,33.333333333333336
Vila Verde,2010,58.97435897435897
Cabeceiras de Basto,2010,33.333333333333336
Fafe,2010,47.142857142857146
Guimarães,2010,50.0
Mondim de Basto,2010,28.571428571428573
Póvoa de Lanhoso,2010,33.333333333333336
Vieira do Minho,2010,50.0
Vila Nova de Famalicão,2010,49.361702127659576
Vizela,2010,54.054054054054056
Arouca,2010,38.095238095238095
Espinho,2010,51.94805194805195
Gondomar,2010,58.31578947368421
Maia,2010,51.93370165745856
Matosinhos,2010,53.24881141045959
Oliveira de Azeméis,2010,50.0
Paredes,2010,40.449438202247194
Porto,2010,48.390913393279696
Póvoa de Varzim,2010,51.372549019607845
Santa Maria da Feira,2010,55.98455598455598
Santo Tirso,2010,49.35064935064935
São João da Madeira,2010,35.483870967741936
Trofa,2010,52.30769230769231
Vale de Cambra,2010,47.22222222222222
Valongo,2010,56.56108597285068
Vila do Conde,2010,52.81385281385281
Vila Nova de Gaia,2010,53.44563552833078
Boticas,2010,50.0
Chaves,2010,47.945205479452056
Montalegre,2010,12.5
Ribeira de Pena,2010,69.23076923076923
Valpaços,2010,24.615384615384617
Vila Pouca de Aguiar,2010,45.0
Amarante,2010,51.351351351351354
Baião,2010,44.44444444444444
Castelo de Paiva,2010,36.36363636363637
Celorico de Basto,2010,53.84615384615385
Cinfães,2010,66.66666666666667
Felgueiras,2010,51.111111111111114
Lousada,2010,60.0
Marco de Canaveses,2010,60.0
Paços de Ferreira,2010,49.056603773584904
Penafiel,2010,55.319148936170215
Resende,2010,30.0
Alijó,2010,28.571428571428573
Armamar,2010,66.66666666666667
Carrazeda de Ansiães,2010,16.666666666666668
Freixo de Espada à Cinta,2010,60.0
Lamego,2010,37.03703703703704
Mesão Frio,2010,25.0
Moimenta da Beira,2010,70.0
Murça,2010,0.0
Penedono,2010,50.0
Peso da Régua,2010,41.666666666666664
Sabrosa,2010,0.0
Santa Marta de Penaguião,2010,50.0
São João da Pesqueira,2010,57.142857142857146
Sernancelhe,2010,40.0
Tabuaço,2010,33.333333333333336
Tarouca,2010,57.142857142857146
Torre de Moncorvo,2010,57.142857142857146
Vila Nova de Foz Côa,2010,62.5
Vila Real,2010,48.706896551724135
Alfândega da Fé,2010,30.0
Bragança,2010,51.21951219512195
Macedo de Cavaleiros,2010,34.375
Miranda do Douro,2010,60.0
Mirandela,2010,57.971014492753625
Mogadouro,2010,42.857142857142854
Vila Flor,2010,50.0
Vimioso,2010,33.333333333333336
Vinhais,2010,40.0
Alcobaça,2010,39.285714285714285
Alenquer,2010,58.13953488372093
Arruda dos Vinhos,2010,55.55555555555556
Bombarral,2010,64.70588235294117
Cadaval,2010,20.0
Caldas da Rainha,2010,46.97986577181208
Lourinhã,2010,62.96296296296296
Nazaré,2010,35.294117647058826
Óbidos,2010,63.63636363636363
Peniche,2010,29.41176470588235
Sobral de Monte Agraço,2010,53.84615384615385
Torres Vedras,2010,51.824817518248175
Águeda,2010,44.31818181818182
Albergaria-a-Velha,2010,50.0
Anadia,2010,44.827586206896555
Aveiro,2010,47.20670391061452
Estarreja,2010,54.34782608695652
Ílhavo,2010,49.36708860759494
Murtosa,2010,69.23076923076923
Oliveira do Bairro,2010,48.83720930232558
Ovar,2010,55.2
Sever do Vouga,2010,26.666666666666668
Vagos,2010,39.39393939393939
Arganil,2010,20.0
Cantanhede,2010,42.465753424657535
Coimbra,2010,50.2082754790336
Condeixa-a-Nova,2010,49.333333333333336
Figueira da Foz,2010,51.417004048582996
Góis,2010,0.0
Lousã,2010,26.666666666666668
Mealhada,2010,52.94117647058823
Mira,2010,57.142857142857146
