Municipality,Year,DVASA,Fertility,Population,Population100,Men65,Monthly_Gain,Wage_Gap,Middle_Aged_Women,Unemployment_Total,Unemployment_Male,Unemployment_Female,Marriages,Elderly_Dependency,Youth_Dependency,Female_Doctors,Total_Doctors,Mental_Health,SS_Pensions,GER,GER_Men,GER_Women,Divorces
Barrancos,2019,0.18359853121175032,1.17,1634,16.34,8.567931456548347,809.9,104.1383647798742,22.15422276621787,5.642594859241126,2.1297429620563033,3.5067319461444306,0.0,35.6,21.0,0.0,0.06119951040391677,0.0,0.9,47.6,12.5,94.4,52.81677746127801
Odivelas,2019,0.21696935230630385,1.81,161774,1617.74,8.746152039264652,937.8,91.65126309303758,21.849617367438526,1.8695834930211281,0.8011794231458701,1.0684040698752582,0.0,33.4,26.4,56.326530612244895,0.3028916884048117,1.6326530612244898,0.4,101.1,98.2,104.1,60.61232600125764
Águeda,2019,0.22571893651654912,1.43,46075,460.75,10.550189907759089,1031.6,77.92048929663609,20.1584373304395,1.8799782962561042,0.7915355398806294,1.0884427563754748,0.23874118285404233,37.3,18.7,50.833333333333336,0.26044492674986436,1.6666666666666667,0.6,144.1,140.9,147.2,87.3
Albergaria-a-Velha,2019,0.35619615639496355,1.3,24144,241.44,9.140987408880052,1079.8,78.54409388553448,21.0818422796554,2.012508283631544,0.7426275679257787,1.2698807157057654,0.314777998674619,32.4,19.5,55.223880597014926,0.27750165672630883,1.492537313432836,0.6,128.7,121.4,136.2,55.3
Anadia,2019,0.2714799324968817,1.4,27258,272.58,11.680974392838799,1006.5,82.60115079002648,19.00726392251816,1.7704893976080418,0.7069484188128256,1.0635409787952161,0.29349181891554776,43.8,16.9,54.83870967741935,0.34118423948932425,1.075268817204301,0.7,144.3,137.7,151.8,55.0
Arouca,2019,0.2171814671814672,1.07,20720,207.2,8.730694980694981,888.8,87.70500589559438,20.25096525096525,2.289092664092664,0.879826254826255,1.409749034749035,0.24131274131274133,32.4,19.5,48.27586206896552,0.13996138996138996,0.0,0.6,111.6,98.8,123.6,66.0
Aveiro,2019,0.2413188711357228,1.4,78734,787.34,8.502044859908045,1196.5,75.33662477558349,21.846978433713517,2.989559783575076,1.3209032946376407,1.6686564889374347,0.4229430741483984,30.4,21.2,51.73116089613035,0.6236187669875785,2.443991853360489,0.5,203.2,202.4,204.0,48.9
Castelo de Paiva,2019,0.13588714895819853,1.08,15454,154.54,7.894396272809629,827.6,91.63489312536106,20.88779603986023,3.8695483370001296,1.1770415426426817,2.692506794357448,0.34295328070402487,27.7,18.3,59.09090909090909,0.1423579655752556,0.0,0.7,100.7,88.2,114.0,56.6
Espinho,2019,0.29136739395582056,1.42,29516,295.16,10.689117766635045,976.9,84.05046605781001,18.908388670551567,5.1338257216424985,2.3112887925193113,2.822875728418485,0.6267786963003117,41.4,17.9,62.38532110091743,0.7385824637484754,1.834862385321101,0.8,225.4,199.4,256.8,30.3
Estarreja,2019,0.3729908482657848,1.27,26006,260.06,9.247865877105284,1224.3,70.51149764150944,20.395293393832194,2.839344766592325,1.2293316926863032,1.6103976005537184,0.34991924940398367,33.1,19.2,58.92857142857143,0.21533492271014382,0.0,0.6,94.1,91.9,96.6,39.6
