Municipality,Year,Value
Arcos de Valdevez,2009,0.0
Caminha,2009,1.7241379310344827
Melgaço,2009,0.0
Monção,2009,0.0
Paredes de Coura,2009,0.0
Ponte da Barca,2009,0.0
Ponte de Lima,2009,0.0
Valença,2009,0.0
Viana do Castelo,2009,2.6315789473684212
Vila Nova de Cerveira,2009,0.0
Amares,2009,0.0
Barcelos,2009,1.2987012987012987
Braga,2009,2.0547945205479454
Esposende,2009,4.411764705882353
Terras de Bouro,2009,0.0
Vila Verde,2009,2.857142857142857
Cabeceiras de Basto,2009,0.0
Fafe,2009,0.0
Guimarães,2009,0.5649717514124294
Mondim de Basto,2009,0.0
Póvoa de Lanhoso,2009,0.0
Vieira do Minho,2009,0.0
Vila Nova de Famalicão,2009,1.3392857142857142
Vizela,2009,0.0
Arouca,2009,0.0
Espinho,2009,1.9867549668874172
Gondomar,2009,1.5418502202643172
Maia,2009,2.7417027417027415
Matosinhos,2009,2.7868852459016393
Oliveira de Azeméis,2009,1.0204081632653061
Paredes,2009,1.2345679012345678
Porto,2009,3.4732272069464543
Póvoa de Varzim,2009,1.1952191235059761
Santa Maria da Feira,2009,0.40816326530612246
Santo Tirso,2009,1.3888888888888888
São João da Madeira,2009,0.0
Trofa,2009,1.694915254237288
Vale de Cambra,2009,0.0
Valongo,2009,2.3696682464454977
Vila do Conde,2009,1.3100436681222707
Vila Nova de Gaia,2009,2.672064777327935
Boticas,2009,0.0
Chaves,2009,0.0
Montalegre,2009,0.0
Ribeira de Pena,2009,0.0
Valpaços,2009,0.0
Vila Pouca de Aguiar,2009,0.0
Amarante,2009,0.0
Baião,2009,0.0
Castelo de Paiva,2009,0.0
Celorico de Basto,2009,0.0
Cinfães,2009,0.0
Felgueiras,2009,0.0
Lousada,2009,0.0
Marco de Canaveses,2009,0.0
Paços de Ferreira,2009,0.0
Penafiel,2009,1.2195121951219512
Resende,2009,0.0
Alijó,2009,0.0
Armamar,2009,0.0
Carrazeda de Ansiães,2009,0.0
Freixo de Espada à Cinta,2009,0.0
Lamego,2009,0.0
Mesão Frio,2009,0.0
Moimenta da Beira,2009,0.0
Murça,2009,0.0
Penedono,2009,0.0
Peso da Régua,2009,0.0
Sabrosa,2009,0.0
Santa Marta de Penaguião,2009,0.0
São João da Pesqueira,2009,0.0
Sernancelhe,2009,0.0
Tabuaço,2009,0.0
Tarouca,2009,0.0
Torre de Moncorvo,2009,0.0
Vila Nova de Foz Côa,2009,0.0
Vila Real,2009,0.8658008658008658
Alfândega da Fé,2009,0.0
Bragança,2009,2.5210084033613445
Macedo de Cavaleiros,2009,0.0
Miranda do Douro,2009,0.0
Mirandela,2009,0.0
Mogadouro,2009,0.0
Vila Flor,2009,0.0
Vimioso,2009,0.0
Vinhais,2009,0.0
Alcobaça,2009,1.9230769230769231
Alenquer,2009,0.0
Arruda dos Vinhos,2009,5.882352941176471
Bombarral,2009,0.0
Cadaval,2009,0.0
Caldas da Rainha,2009,0.6711409395973155
Lourinhã,2009,4.166666666666667
Nazaré,2009,0.0
Óbidos,2009,0.0
Peniche,2009,0.0
Sobral de Monte Agraço,2009,0.0
Torres Vedras,2009,0.0
Águeda,2009,1.1494252873563218
Albergaria-a-Velha,2009,2.6315789473684212
Anadia,2009,0.0
Aveiro,2009,2.865329512893983
Estarreja,2009,0.0
Ílhavo,2009,1.2820512820512822
Murtosa,2009,0.0
Oliveira do Bairro,2009,0.0
Ovar,2009,0.8403361344537815
Sever do Vouga,2009,0.0
Vagos,2009,0.0
Arganil,2009,0.0
Cantanhede,2009,8.571428571428571
Coimbra,2009,3.0381944444444446
Condeixa-a-Nova,2009,2.816901408450704
Figueira da Foz,2009,1.694915254237288
Góis,2009,0.0
Lousã,2009,0.0
Mealhada,2009,0.0
Mira,2009,0.0
Miranda do Corvo,2009,10.526315789473685
Montemor-o-Velho,2009,5.0
Mortágua,2009,0.0
Oliveira do Hospital,2009,0.0
Pampilhosa da Serra,2009,
Penacova,2009,0.0
Penela,2009,0.0
Soure,2009,8.333333333333334
Tábua,2009,0.0
Vila Nova de Poiares,2009,0.0
Alvaiázere,2009,0.0
Ansião,2009,0.0
Batalha,2009,0.0
Castanheira de Pêra,2009,0.0
Figueiró dos Vinhos,2009,0.0
Leiria,2009,2.2535211267605635
Marinha Grande,2009,0.0
Pedrógão Grande,2009,0.0
Pombal,2009,0.0
Porto de Mós,2009,0.0
Aguiar da Beira,2009,0.0
Carregal do Sal,2009,0.0
Castro Daire,2009,10.0
Mangualde,2009,0.0
Nelas,2009,0.0
Oliveira de Frades,2009,0.0
Penalva do Castelo,2009,0.0
Santa Comba Dão,2009,0.0
São Pedro do Sul,2009,0.0
Sátão,2009,0.0
Tondela,2009,0.0
Vila Nova de Paiva,2009,0.0
Viseu,2009,2.3060796645702304
Vouzela,2009,0.0
Castelo Branco,2009,0.0
Idanha-a-Nova,2009,0.0
Oleiros,2009,
Penamacor,2009,0.0
Proença-a-Nova,2009,0.0
Vila Velha de Ródão,2009,0.0
Abrantes,2009,0.0
Alcanena,2009,0.0
Constância,2009,0.0
Entroncamento,2009,0.0
Ferreira do Zêzere,2009,0.0
Mação,2009,0.0
Ourém,2009,0.0
Sardoal,2009,0.0
Sertã,2009,0.0
Tomar,2009,1.1764705882352942
Torres Novas,2009,0.0
Vila de Rei,2009,0.0
Vila Nova da Barquinha,2009,0.0
Almeida,2009,0.0
Belmonte,2009,0.0
Celorico da Beira,2009,0.0
Covilhã,2009,1.2738853503184713
Figueira de Castelo Rodrigo,2009,0.0
Fornos de Algodres,2009,25.0
Fundão,2009,0.0
Gouveia,2009,0.0
Guarda,2009,1.694915254237288
Manteigas,2009,0.0
Mêda,2009,0.0
Pinhel,2009,0.0
Sabugal,2009,0.0
Seia,2009,0.0
Trancoso,2009,0.0
Alcochete,2009,0.0
Almada,2009,1.132686084142395
Amadora,2009,1.5873015873015872
Barreiro,2009,0.4975124378109453
Cascais,2009,1.7120622568093384
Lisboa,2009,3.545918367346939
Loures,2009,2.421652421652422
Mafra,2009,1.7094017094017093
Moita,2009,0.0
Montijo,2009,0.0
Odivelas,2009,1.876675603217158
Oeiras,2009,2.2926500337154416
Palmela,2009,1.5151515151515151
Seixal,2009,0.8
Sesimbra,2009,6.25
Setúbal,2009,1.7857142857142858
Sintra,2009,1.2936610608020698
Vila Franca de Xira,2009,1.0582010582010581
Alcácer do Sal,2009,0.0
Grândola,2009,0.0
Odemira,2009,7.142857142857143
Santiago do Cacém,2009,1.7543859649122806
Sines,2009,0.0
Aljustrel,2009,0.0
Almodôvar,2009,0.0
Alvito,2009,0.0
Barrancos,2009,0.0
Beja,2009,0.6172839506172839
Castro Verde,2009,0.0
Cuba,2009,0.0
Ferreira do Alentejo,2009,0.0
Mértola,2009,0.0
Moura,2009,0.0
Ourique,2009,0.0
Serpa,2009,0.0
Vidigueira,2009,0.0
Almeirim,2009,0.0
Alpiarça,2009,0.0
Azambuja,2009,0.0
Benavente,2009,0.0
Cartaxo,2009,0.0
Chamusca,2009,0.0
Coruche,2009,0.0
Golegã,2009,0.0
Rio Maior,2009,0.0
Salvaterra de Magos,2009,0.0
Santarém,2009,1.694915254237288
Alter do Chão,2009,0.0
Arronches,2009,0.0
Avis,2009,0.0
Campo Maior,2009,0.0
Castelo de Vide,2009,0.0
Crato,2009,0.0
Elvas,2009,0.0
Fronteira,2009,0.0
Gavião,2009,0.0
Marvão,2009,0.0
Monforte,2009,0.0
Nisa,2009,0.0
Ponte de Sor,2009,0.0
Portalegre,2009,1.9047619047619047
Sousel,2009,0.0
Alandroal,2009,0.0
Arraiolos,2009,0.0
Borba,2009,0.0
Estremoz,2009,0.0
Évora,2009,1.7921146953405018
Montemor-o-Novo,2009,0.0
Mora,2009,0.0
Mourão,2009,0.0
Portel,2009,0.0
Redondo,2009,0.0
Reguengos de Monsaraz,2009,8.333333333333334
Vendas Novas,2009,0.0
Viana do Alentejo,2009,0.0
Vila Viçosa,2009,0.0
Albufeira,2009,0.0
Alcoutim,2009,0.0
Aljezur,2009,0.0
Castro Marim,2009,0.0
Faro,2009,2.1696252465483234
Lagoa,2009,1.6666666666666667
Lagos,2009,1.4705882352941178
Loulé,2009,1.6528925619834711
Monchique,2009,0.0
Olhão,2009,0.0
Portimão,2009,1.9011406844106464
São Brás de Alportel,2009,0.0
Silves,2009,0.0
Tavira,2009,0.0
Vila do Bispo,2009,0.0
Vila Real de Santo António,2009,0.0
Vila do Porto,2009,0.0
Lagoa [R.A.A.],2009,0.0
Nordeste,2009,0.0
Ponta Delgada,2009,2.3904382470119523
Povoação,2009,0.0
Ribeira Grande,2009,0.0
Vila Franca do Campo,2009,0.0
Angra do Heroísmo,2009,3.0927835051546393
Vila da Praia da Vitória,2009,0.0
Santa Cruz da Graciosa,2009,0.0
Calheta [R.A.A.],2009,0.0
Velas,2009,0.0
Lajes do Pico,2009,0.0
Madalena,2009,0.0
São Roque do Pico,2009,0.0
Horta,2009,5.2631578947368425
Lajes das Flores,2009,
Santa Cruz das Flores,2009,0.0
Corvo,2009,0.0
Calheta [R.A.M.],2009,0.0
Câmara de Lobos,2009,0.0
Funchal,2009,1.556420233463035
Machico,2009,0.0
Ponta do Sol,2009,0.0
Porto Moniz,2009,0.0
Ribeira Brava,2009,0.0
Santa Cruz,2009,1.2820512820512822
Santana,2009,0.0
São Vicente,2009,0.0
Porto Santo,2009,0.0
Arcos de Valdevez,2010,0.0
Caminha,2010,1.7241379310344827
Melgaço,2010,0.0
Monção,2010,0.0
Paredes de Coura,2010,0.0
Ponte da Barca,2010,0.0
Ponte de Lima,2010,0.0
Valença,2010,0.0
Viana do Castelo,2010,2.479338842975207
Vila Nova de Cerveira,2010,0.0
Amares,2010,4.761904761904762
Barcelos,2010,1.2195121951219512
Braga,2010,2.1119324181626187
Esposende,2010,3.9473684210526314
Terras de Bouro,2010,0.0
