Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Violencia Domestica Conjuge ou Analogo,Águeda,57.0,63.0,82.0,70.0,90.0,103.0,117.0,84.0,83.0,86.0,92.0,104.0
Violencia Domestica Menores,Águeda,3.0,,4.0,,,6.0,5.0,,,3.0,,
Outros Violencia Domestica,Águeda,12.0,12.0,27.0,23.0,20.0,19.0,21.0,10.0,12.0,6.0,18.0,13.0
Violencia Domestica Conjuge ou Analogo,Albergaria-a-Velha,54.0,24.0,33.0,47.0,35.0,43.0,60.0,56.0,54.0,62.0,64.0,86.0
Violencia Domestica Menores,Albergaria-a-Velha,,,,,,,4.0,,,,,
Outros Violencia Domestica,Albergaria-a-Velha,3.0,3.0,,,12.0,16.0,11.0,11.0,9.0,6.0,7.0,12.0
Violencia Domestica Conjuge ou Analogo,Anadia,42.0,29.0,44.0,27.0,27.0,43.0,47.0,45.0,45.0,65.0,49.0,74.0
Violencia Domestica Menores,Anadia,3.0,,,,,,,,,,,
Outros Violencia Domestica,Anadia,9.0,4.0,6.0,9.0,8.0,9.0,6.0,11.0,7.0,16.0,14.0,11.0
Violencia Domestica Conjuge ou Analogo,Arouca,22.0,15.0,24.0,18.0,16.0,18.0,31.0,30.0,24.0,27.0,38.0,45.0
Violencia Domestica Menores,Arouca,,,,,,,,,,,,
Outros Violencia Domestica,Arouca,,,,4.0,4.0,,,4.0,4.0,6.0,7.0,8.0
Violencia Domestica Conjuge ou Analogo,Aveiro,200.0,212.0,216.0,193.0,93.0,106.0,159.0,149.0,171.0,199.0,203.0,190.0
Violencia Domestica Menores,Aveiro,6.0,13.0,,,5.0,,3.0,,4.0,,3.0,3.0
Outros Violencia Domestica,Aveiro,72.0,63.0,91.0,23.0,8.0,20.0,28.0,28.0,28.0,21.0,30.0,51.0
Violencia Domestica Conjuge ou Analogo,Castelo de Paiva,29.0,40.0,39.0,33.0,35.0,29.0,20.0,11.0,26.0,17.0,13.0,21.0
Violencia Domestica Menores,Castelo de Paiva,,6.0,,4.0,,,,,,,,
Outros Violencia Domestica,Castelo de Paiva,9.0,9.0,17.0,5.0,13.0,3.0,10.0,3.0,,4.0,5.0,3.0
Violencia Domestica Conjuge ou Analogo,Espinho,51.0,127.0,110.0,88.0,64.0,53.0,69.0,57.0,77.0,86.0,86.0,86.0
Violencia Domestica Menores,Espinho,,7.0,3.0,4.0,,,,,6.0,5.0,,3.0
Outros Violencia Domestica,Espinho,12.0,38.0,13.0,29.0,25.0,34.0,30.0,40.0,40.0,46.0,25.0,34.0
Violencia Domestica Conjuge ou Analogo,Estarreja,46.0,78.0,100.0,92.0,90.0,70.0,91.0,80.0,56.0,59.0,75.0,97.0
Violencia Domestica Menores,Estarreja,,,5.0,,,,,,,,,
Outros Violencia Domestica,Estarreja,9.0,6.0,7.0,8.0,10.0,4.0,9.0,4.0,6.0,,5.0,10.0
Violencia Domestica Conjuge ou Analogo,Santa Maria da Feira,224.0,221.0,327.0,279.0,284.0,241.0,289.0,323.0,279.0,248.0,279.0,365.0
Violencia Domestica Menores,Santa Maria da Feira,3.0,6.0,3.0,3.0,,4.0,7.0,,3.0,3.0,,
Outros Violencia Domestica,Santa Maria da Feira,32.0,22.0,51.0,19.0,21.0,18.0,21.0,27.0,35.0,41.0,49.0,50.0
