Municipality,Year,Value
Arcos de Valdevez,2008,23409
Caminha,2008,16849
Melgaço,2008,9430
Monção,2008,19492
Paredes de Coura,2008,9293
Ponte da Barca,2008,12313
Ponte de Lima,2008,43977
Valença,2008,14185
Viana do Castelo,2008,89315
Vila Nova de Cerveira,2008,9229
Amares,2008,18937
Barcelos,2008,121534
Braga,2008,179020
Esposende,2008,34314
Terras de Bouro,2008,7562
Vila Verde,2008,47981
Cabeceiras de Basto,2008,17094
Fafe,2008,51377
Guimarães,2008,159521
Mondim de Basto,2008,7771
Póvoa de Lanhoso,2008,22193
Vieira do Minho,2008,13449
Vila Nova de Famalicão,2008,133505
Vizela,2008,23678
Arouca,2008,22839
Espinho,2008,32446
Gondomar,2008,168337
Maia,2008,132927
Matosinhos,2008,174655
Oliveira de Azeméis,2008,69527
Paredes,2008,86728
Porto,2008,244049
Póvoa de Varzim,2008,63763
Santa Maria da Feira,2008,139550
Santo Tirso,2008,72301
São João da Madeira,2008,21732
Trofa,2008,38925
Vale de Cambra,2008,23372
Valongo,2008,92744
Vila do Conde,2008,78862
Vila Nova de Gaia,2008,301238
Boticas,2008,5895
Chaves,2008,42113
Montalegre,2008,11050
Ribeira de Pena,2008,6803
Valpaços,2008,17595
Vila Pouca de Aguiar,2008,13648
Amarante,2008,57351
Baião,2008,21087
Castelo de Paiva,2008,17017
Celorico de Basto,2008,20286
Cinfães,2008,20985
Felgueiras,2008,58443
Lousada,2008,47167
Marco de Canaveses,2008,53638
Paços de Ferreira,2008,56021
Penafiel,2008,72684
Resende,2008,11659
Alijó,2008,12494
Armamar,2008,6598
Carrazeda de Ansiães,2008,6687
Freixo de Espada à Cinta,2008,3885
Lamego,2008,27179
Mesão Frio,2008,4581
Moimenta da Beira,2008,10435
Murça,2008,6135
Penedono,2008,3075
Peso da Régua,2008,17600
Sabrosa,2008,6537
Santa Marta de Penaguião,2008,7634
São João da Pesqueira,2008,8079
Sernancelhe,2008,5806
Tabuaço,2008,6470
Tarouca,2008,8161
Torre de Moncorvo,2008,8882
Vila Nova de Foz Côa,2008,7577
Vila Real,2008,51709
Alfândega da Fé,2008,5303
Bragança,2008,35392
Macedo de Cavaleiros,2008,16239
Miranda do Douro,2008,7678
Mirandela,2008,24386
Mogadouro,2008,9904
Vila Flor,2008,6970
Vimioso,2008,4830
Vinhais,2008,9463
Alcobaça,2008,56803
Alenquer,2008,42546
Arruda dos Vinhos,2008,12789
Bombarral,2008,13295
Cadaval,2008,14205
Caldas da Rainha,2008,51448
Lourinhã,2008,25378
Nazaré,2008,15154
Óbidos,2008,11610
Peniche,2008,27796
Sobral de Monte Agraço,2008,9949
Torres Vedras,2008,78292
Águeda,2008,48223
Albergaria-a-Velha,2008,25223
Anadia,2008,29784
Aveiro,2008,77584
Estarreja,2008,27339
Ílhavo,2008,38440
Murtosa,2008,10400
Oliveira do Bairro,2008,22698
Ovar,2008,55589
Sever do Vouga,2008,12601
Vagos,2008,22775
Arganil,2008,12498
Cantanhede,2008,37020
Coimbra,2008,144932
Condeixa-a-Nova,2008,16767
Figueira da Foz,2008,62520
Góis,2008,4412
Lousã,2008,17306
Mealhada,2008,20616
Mira,2008,12601
Miranda do Corvo,2008,13161
Montemor-o-Velho,2008,26038
Mortágua,2008,9817
Oliveira do Hospital,2008,21238
Pampilhosa da Serra,2008,4668
Penacova,2008,15628
Penela,2008,6105
Soure,2008,19665
Tábua,2008,12259
Vila Nova de Poiares,2008,7251
Alvaiázere,2008,7536
Ansião,2008,13338
Batalha,2008,15704
Castanheira de Pêra,2008,3315
Figueiró dos Vinhos,2008,6434
Leiria,2008,126002
Marinha Grande,2008,38183
Pedrógão Grande,2008,4037
Pombal,2008,55774
Porto de Mós,2008,24402
Aguiar da Beira,2008,5674
Carregal do Sal,2008,9973
Castro Daire,2008,15741
Mangualde,2008,20178
Nelas,2008,14172
Oliveira de Frades,2008,10367
Penalva do Castelo,2008,8224
Santa Comba Dão,2008,11822
São Pedro do Sul,2008,17301
Sátão,2008,12700
Tondela,2008,29561
Vila Nova de Paiva,2008,5398
Viseu,2008,98362
Vouzela,2008,10902
Castelo Branco,2008,56177
Idanha-a-Nova,2008,10187
Oleiros,2008,5936
Penamacor,2008,5911
Proença-a-Nova,2008,8648
