Municipality,Year,Value
Arcos de Valdevez,2009,1.3
Caminha,2009,0.8
Melgaço,2009,1.4
Monção,2009,1.1
Paredes de Coura,2009,1.0
Ponte da Barca,2009,1.0
Ponte de Lima,2009,0.7
Valença,2009,0.7
Viana do Castelo,2009,0.6
Vila Nova de Cerveira,2009,0.8
Amares,2009,0.6
Barcelos,2009,0.5
Braga,2009,0.5
Esposende,2009,0.5
Terras de Bouro,2009,1.1
Vila Verde,2009,0.7
Cabeceiras de Basto,2009,0.8
Fafe,2009,0.6
Guimarães,2009,0.5
Mondim de Basto,2009,1.0
Póvoa de Lanhoso,2009,0.6
Vieira do Minho,2009,1.1
Vila Nova de Famalicão,2009,0.5
Vizela,2009,0.3
Arouca,2009,0.8
Espinho,2009,0.8
Gondomar,2009,0.5
Maia,2009,0.4
Matosinhos,2009,0.6
Oliveira de Azeméis,2009,0.6
Paredes,2009,0.4
Porto,2009,0.9
Póvoa de Varzim,2009,0.5
Santa Maria da Feira,2009,0.5
Santo Tirso,2009,0.7
São João da Madeira,2009,0.5
Trofa,2009,0.3
Vale de Cambra,2009,0.7
Valongo,2009,0.5
Vila do Conde,2009,0.5
Vila Nova de Gaia,2009,0.5
Boticas,2009,1.6
Chaves,2009,0.9
Montalegre,2009,1.7
Ribeira de Pena,2009,1.2
Valpaços,2009,1.6
Vila Pouca de Aguiar,2009,1.2
Amarante,2009,0.6
Baião,2009,0.9
Castelo de Paiva,2009,0.7
Celorico de Basto,2009,0.9
Cinfães,2009,0.9
Felgueiras,2009,0.4
Lousada,2009,0.4
Marco de Canaveses,2009,0.5
Paços de Ferreira,2009,0.3
Penafiel,2009,0.4
Resende,2009,1.1
Alijó,2009,1.3
Armamar,2009,1.1
Carrazeda de Ansiães,2009,1.6
Freixo de Espada à Cinta,2009,1.6
Lamego,2009,0.7
Mesão Frio,2009,1.0
Moimenta da Beira,2009,0.9
Murça,2009,1.3
Penedono,2009,1.2
Peso da Régua,2009,0.9
Sabrosa,2009,1.1
Santa Marta de Penaguião,2009,1.0
São João da Pesqueira,2009,0.9
Sernancelhe,2009,1.2
Tabuaço,2009,1.1
Tarouca,2009,0.9
Torre de Moncorvo,2009,1.7
Vila Nova de Foz Côa,2009,1.3
Vila Real,2009,0.7
Alfândega da Fé,2009,1.5
Bragança,2009,0.9
Macedo de Cavaleiros,2009,1.1
Miranda do Douro,2009,1.3
Mirandela,2009,1.0
Mogadouro,2009,1.4
Vila Flor,2009,1.1
Vimioso,2009,1.7
Vinhais,2009,2.0
Alcobaça,2009,0.7
Alenquer,2009,
Arruda dos Vinhos,2009,0.5
Bombarral,2009,0.7
Cadaval,2009,0.8
Caldas da Rainha,2009,0.6
Lourinhã,2009,0.6
Nazaré,2009,0.7
Óbidos,2009,0.7
Peniche,2009,0.7
Sobral de Monte Agraço,2009,0.5
Torres Vedras,2009,0.5
Águeda,2009,0.7
Albergaria-a-Velha,2009,0.6
Anadia,2009,0.8
Aveiro,2009,0.5
Estarreja,2009,0.7
Ílhavo,2009,0.5
Murtosa,2009,0.6
Oliveira do Bairro,2009,0.6
Ovar,2009,0.5
Sever do Vouga,2009,0.8
Vagos,2009,0.6
Arganil,2009,1.2
