Municipality,Year,Value
Arcos de Valdevez,2009,32
Caminha,2009,58
Melgaço,2009,16
Monção,2009,48
Paredes de Coura,2009,10
Ponte da Barca,2009,24
Ponte de Lima,2009,72
Valença,2009,30
Viana do Castelo,2009,342
Vila Nova de Cerveira,2009,29
Amares,2009,21
Barcelos,2009,154
Braga,2009,876
Esposende,2009,68
Terras de Bouro,2009,2
Vila Verde,2009,35
Cabeceiras de Basto,2009,18
Fafe,2009,68
Guimarães,2009,354
Mondim de Basto,2009,7
Póvoa de Lanhoso,2009,22
Vieira do Minho,2009,12
Vila Nova de Famalicão,2009,224
Vizela,2009,32
Arouca,2009,20
Espinho,2009,151
Gondomar,2009,454
Maia,2009,693
Matosinhos,2009,1220
Oliveira de Azeméis,2009,98
Paredes,2009,81
Porto,2009,4146
Póvoa de Varzim,2009,251
Santa Maria da Feira,2009,245
Santo Tirso,2009,144
São João da Madeira,2009,54
Trofa,2009,59
Vale de Cambra,2009,30
Valongo,2009,211
Vila do Conde,2009,229
Vila Nova de Gaia,2009,1235
Boticas,2009,6
Chaves,2009,138
Montalegre,2009,8
Ribeira de Pena,2009,11
Valpaços,2009,65
Vila Pouca de Aguiar,2009,17
Amarante,2009,73
Baião,2009,16
Castelo de Paiva,2009,11
Celorico de Basto,2009,12
Cinfães,2009,16
Felgueiras,2009,41
Lousada,2009,30
Marco de Canaveses,2009,30
Paços de Ferreira,2009,48
Penafiel,2009,82
Resende,2009,9
Alijó,2009,7
Armamar,2009,3
Carrazeda de Ansiães,2009,6
Freixo de Espada à Cinta,2009,5
Lamego,2009,50
Mesão Frio,2009,9
Moimenta da Beira,2009,10
Murça,2009,1
Penedono,2009,2
Peso da Régua,2009,34
Sabrosa,2009,5
Santa Marta de Penaguião,2009,2
São João da Pesqueira,2009,7
Sernancelhe,2009,5
Tabuaço,2009,3
Tarouca,2009,7
Torre de Moncorvo,2009,7
Vila Nova de Foz Côa,2009,8
Vila Real,2009,231
Alfândega da Fé,2009,8
Bragança,2009,119
Macedo de Cavaleiros,2009,31
