Municipality,Year,Value
Arcos de Valdevez,2008,
Caminha,2008,
Melgaço,2008,
Monção,2008,
Paredes de Coura,2008,
Ponte da Barca,2008,
Ponte de Lima,2008,
Valença,2008,
Viana do Castelo,2008,
Vila Nova de Cerveira,2008,
Amares,2008,
Barcelos,2008,
Braga,2008,
Esposende,2008,
Terras de Bouro,2008,
Vila Verde,2008,
Cabeceiras de Basto,2008,
Fafe,2008,
Guimarães,2008,
Mondim de Basto,2008,
Póvoa de Lanhoso,2008,
Vieira do Minho,2008,
Vila Nova de Famalicão,2008,
Vizela,2008,
Arouca,2008,
Espinho,2008,
Gondomar,2008,
Maia,2008,
Matosinhos,2008,
Oliveira de Azeméis,2008,
Paredes,2008,
Porto,2008,
Póvoa de Varzim,2008,
Santa Maria da Feira,2008,
Santo Tirso,2008,
São João da Madeira,2008,
Trofa,2008,
Vale de Cambra,2008,
Valongo,2008,
Vila do Conde,2008,
Vila Nova de Gaia,2008,
Boticas,2008,
Chaves,2008,
Montalegre,2008,
Ribeira de Pena,2008,
Valpaços,2008,
Vila Pouca de Aguiar,2008,
Amarante,2008,
Baião,2008,
Castelo de Paiva,2008,
Celorico de Basto,2008,
Cinfães,2008,
Felgueiras,2008,
Lousada,2008,
Marco de Canaveses,2008,
Paços de Ferreira,2008,
Penafiel,2008,
Resende,2008,
Alijó,2008,
Armamar,2008,
Carrazeda de Ansiães,2008,
Freixo de Espada à Cinta,2008,
Lamego,2008,
Mesão Frio,2008,
Moimenta da Beira,2008,
Murça,2008,
Penedono,2008,
Peso da Régua,2008,
Sabrosa,2008,
Santa Marta de Penaguião,2008,
São João da Pesqueira,2008,
Sernancelhe,2008,
Tabuaço,2008,
Tarouca,2008,
Torre de Moncorvo,2008,
Vila Nova de Foz Côa,2008,
Vila Real,2008,
Alfândega da Fé,2008,
Bragança,2008,
Macedo de Cavaleiros,2008,
Miranda do Douro,2008,
Mirandela,2008,
Mogadouro,2008,
Vila Flor,2008,
Vimioso,2008,
Vinhais,2008,
Alcobaça,2008,
Alenquer,2008,
Arruda dos Vinhos,2008,
Bombarral,2008,
Cadaval,2008,
Caldas da Rainha,2008,
Lourinhã,2008,
Nazaré,2008,
Óbidos,2008,
Peniche,2008,
